order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD224307,ID0575529171,2019-16-01,Bakers,"[('Olivia x460', 1), ('Thunder line', 1), ('Candle Inferno', 1), ('pearTV', 1)]",10145,82.08,-37.82391610000001,144.9877779,5,9719.83,Summer,False,1.6825,"good quality ,i like this phone. very good like new.",True
ORD116699,ID5668009832,2019-10-09,Bakers,"[('iAssist Line', 1), ('Olivia x460', 2), ('pearTV', 1)]",10985,79.32,-37.8104684,145.00919009999996,15,9416.57,Spring,True,1.2287,exactly as description said. love this phone was exactly as stated. practically new. sent 3 phone cases that i didn't expect,True
ORD374934,ID4655086235,2019-10-31,Thompson,"[('Lucent 330S', 2), ('pearTV', 1), ('Thunder line', 1)]",10950,98.65,-37.8105443,144.9459926,15,2362.75,Spring,True,0.2552,fingerprint move from excellent to bad. nice phone for the price. the fingerprint reader is very responsive. but after about a month and a half not so responsive. still love this phone and will recommend it to anyone.,True
ORD180975,ID0214109123,2019-06-04,Bakers,"[('iStream', 2), ('Thunder line', 1), ('Lucent 330S', 1)]",3710,84.66,-37.8162978,145.01546509999997,25,2867.16,Winter,True,1.9126,"super great deal- as good as new! phone came in remarkable condition, as good as new. no issues!",True
ORD283625,ID0131238848,2019-12-08,Nickolson,"[('Toshika 750', 1), ('Olivia x460', 2), ('Thunder line', 1), ('Alcon 10', 2)]",2330,78.16,-37.8134396,144.96200980000003,10,24243.16,Summer,True,0.877,one star the worst phone i've ever owned,False
ORD149714,ID0594764922,2019-04-27,Nickolson,"[('iStream', 1), ('Toshika 750', 2)]",8790,66.45,-37.8131307,144.9656253,25,6658.95,Autumn,False,0.6994,four stars ok,True
ORD146920,ID6222911317,2019-05-03,Bakers,"[('Lucent 330S', 1), ('Universe Note', 2)]",8130,66.63,145.0086454,-37.8087762,15,6977.13,Autumn,False,1.1875,the candle is great not only is it a reader its bascially a computer. it connects to the internet it takes pictures and has many other great features.,True
ORD001105,ID0356099604,2019-01-03,thompson,"[('Candle Inferno', 1), ('iAssist Line', 1), ('pearTV', 2)]",15275,99.49,-37.82284110000001,144.9896646,25,11555.74,Summer,True,1.5114,this is as good as my my ipod! i would recommend it,True
ORD087170,ID0412650030,2019-01-07,Bakers,"[('Universe Note', 1), ('Alcon 10', 2), ('Toshika 750', 1), ('Olivia x460', 1)]",23805,82.68,-37.7990831,144.9799831,25,17936.43,Summer,False,1.8096,"better than the universe that died on me. good phone, great value. better than the universe that died on me.",True
ORD454028,ID0294629223,2019-08-24,Nickolson,"[('Toshika 750', 2), ('Alcon 10', 1)]",17590,58.47,-37.8171151,144.9700939,0,19888.95,Winter,False,0.1715,five stars this is a nice phone for the price,True
ORD168722,ID6145331908,2019-08-26,Nickolson,"[('Toshika 750', 1), ('Lucent 330S', 2), ('Thunder line', 1)]",8960,82.83,-37.80460120000001,144.97458590000005,10,8146.83,Winter,True,1.6195,"for last 4 years i’ve bought more then 4 phones this supplier , it was just no problem with any great phone and great seller , recommended!",True
ORD446303,ID2272185967,2019-06-03,Bakers,"[('Toshika 750', 2), ('Olivia x460', 2)]",11090,84.79,-37.8220205,145.0141651,0,11174.79,Winter,True,2.1363,not happy it stopped working after 2 weeks but you get what you pay for. it wasnt a bad product it worked great coming out of the package. the screen was nice with strong glass.,False
ORD464376,ID1953967167,2019-12-23,bakers,"[('iStream', 2), ('Toshika 750', 1), ('Alcon 10', 1), ('pearTV', 2)]",26190,65.35,-37.8023736,144.95942419999997,15,22326.85,Summer,False,1.5796,sad joke. worthless.,False
ORD495236,ID3367904406,2019-04-23,Nickolson,"[('Alcon 10', 2), ('iAssist Line', 1)]",20125,80.8,-37.81293270000001,144.9680768,5,19199.55,Autumn,True,0.6435,"lucentrolla perfection after many cell phones of other brands i decided to go back to lucentrolla. i love this phone, while i wish it had a few more features, it's a perfect smart phone for the thrifty phone buyer, comparable to the two leading phone names but at a fraction of the price.",True
ORD486185,ID1492169343,2019-06-07,Thompson,"[('Thunder line', 1), ('Olivia x460', 1), ('Universe Note', 1), ('Lucent 330S', 2)]",9315,83.15,144.9636132,-37.8018073,25,7069.4,Winter,True,1.8921,great stuff to have. it is a good tool to help your kids go out and find knowledge! and this does help. wanting knowledge should still be encourage.,True
ORD415379,ID2291073966,2019-02-19,Nickolson,"[('Thunder line', 1), ('iAssist Line', 1)]",4405,81.38,-37.8092034,144.9648239,0,4486.38,Summer,True,1.1251,face recognition dont work and is over heating face recognition dont work and is over heating,False
ORD114319,ID0332797496,2019-07-07,Bakers,"[('Toshika 750', 2), ('Alcon 10', 2), ('Olivia x460', 1)]",27765,76.43,-37.8085721,145.0042747,15,23676.68,Winter,True,0.8109,excellent condition i love the video call function. the phone works great and the battery life lasts almost all day.,True
ORD022609,ID0847532415,2019-12-25,Nickolson,"[('Alcon 10', 1), ('Toshika 750', 1), ('Thunder line', 2), ('Candle Inferno', 2)]",18490,52.38,-37.8210104,144.9675621,10,16693.38,Summer,True,0.3208,did not receive a us phone i bought this phone because it was a us phone. unfortunately this is an international phone and is not usable. this is the first item i have had to return from digico. hope it goes smoothly because it was an expensive piece of worthless to me equipment.,False
ORD496180,ID6167266593,2019-06-01,Nickolson,"[('Universe Note', 2), ('Lucent 330S', 1), ('Alcon 10', 1), ('Thunder line', 1)]",19260,78.18,144.9639783,-37.8095468,25,14523.18,Winter,True,1.1201,instructions would be helpful. an instruction manual would have helped.,True
ORD473986,ID1132069631,2019-04-19,Thompson,"[('pearTV', 1), ('Alcon 10', 2), ('iStream', 1), ('Candle Inferno', 2)]",25220,63.18,-37.8148908,144.9448679,25,18978.18,Autumn,True,0.3137,"good phone, but battery doesnt hold up only had the phone 1 month and it wont hold a charge very well.",True
ORD098284,ID0579501193,2019-04-11,Thompson,"[('pearTV', 2), ('Alcon 10', 1)]",21570,63.89,-37.81413010000001,144.94923500000004,5,20555.39,Autumn,True,0.2502,terrible ordered a alcon it took longer than expected when i got the alcon it worked two weeks and cut off and never would cut back on . when i took it to pear they said the whole system was blown,False
ORD217148,ID0054392200,2019-02-27,Thompson,"[('iStream', 2), ('Alcon 10', 2)]",18200,100.44,-37.7994701,144.94880859999995,25,13750.44,Summer,True,0.8602,five stars love it,True
ORD041323,ID6167413253,2019-07-17,Nickolson,"[('Thunder line', 2), ('Universe Note', 1)]",7810,48.37,-37.8128633,144.96829590000004,10,7077.37,Winter,False,0.6475,returned returned.,False
ORD307695,ID4367140159,2019-03-27,Thompson,"[('Universe Note', 1), ('Candle Inferno', 2), ('Alcon 10', 1), ('Lucent 330S', 1)]",14490,69.1,-37.7993958,144.9619289,10,13110.1,Autumn,False,1.973,cool cool,False
ORD040762,ID0591351805,2019-02-13,Nickolson,"[('Alcon 10', 2), ('Olivia x460', 1), ('Universe Note', 1)]",22575,76.5,-37.8209535,144.95703740000005,10,20394.0,Summer,False,1.2667,"so far so good for the price it's worth it. it has no issue with t-mobile, and 64 gb is a lot storage. miui is different. 1.if you not gonna spend time, you not going to like the miui. 2. i do not like the adapter came with the brick. it comes off the wall easily.",True
ORD325970,ID2176972928,2019-11-24,Bakers,"[('Toshika 750', 2), ('Lucent 330S', 2), ('iAssist Line', 1)]",13325,91.77,-37.80372360000001,145.010641,0,13416.77,summer,True,1.5245,"i hate this phone my work phone is a universe s7, i hate this phone. does things that i dont want it to. its slow, and the camara isnt that good. my lg g3 is a better phone and easier to use. i cant wait till i get the g5, way better phone than s7. dont care for olivia phones anyways",False
ORD268578,ID0702363502,2019-02-27,Thompson,"[('Universe Note', 1), ('Toshika 750', 2), ('iAssist Line', 1), ('Olivia x460', 1)]",15540,77.96,-37.8062,144.94206269999995,10,14063.96,Summer,True,0.8444,not as defined package was in very poor condition and item seemed to have skready been opened and used.,False
ORD108489,ID1681675853,2019-08-17,Nickolson,"[('iStream', 1), ('Olivia x460', 2)]",2600,62.17,-37.8098238,144.976572,5,2532.17,Winter,True,1.1552,producto defectuoso. la pantalla dejo de funcionar muy mal producto.,False
