order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD207601,ID0582797994,2019-09-06,Nickolson,"[('pearTV', 1), ('Universe Note', 2)]",13210,79.06,-37.8236258,144.9808734,0,13289.06,Spring,False,1.1423,four stars this phone works great. lookslike new.,True
ORD094057,ID3215192366,2019-06-02,Thompson,"[('Universe Note', 1), ('Thunder line', 2), ('iAssist Line', 1), ('pearTV', 2)]",22655,62.04,-37.8091872,144.94523930000003,0,22717.04,Winter,False,0.4201,"love it, love toshika, made for making videos it has great features and movie making abilities. its really long it seems, but really slick and really nice. i like it a lot! thanks!",True
ORD411011,ID1283643431,2019-06-04,Nickolson,"[('Candle Inferno', 1), ('Universe Note', 1), ('iAssist Line', 2)]",8330,71.78,-37.8002796,144.9654416,0,8401.78,Winter,False,2.0706,works great phone wrks as it should,True
ORD359586,ID2314545794,2019-02-11,Bakers,"[('Candle Inferno', 1), ('pearTV', 1), ('iAssist Line', 1)]",8965,75.86,-37.8045461,144.9876882,5,8592.61,Summer,False,0.899,five stars excellent and quick.,True
ORD095468,ID0260907255,2019-12-03,Bakers,"[('pearTV', 1), ('Olivia x460', 2), ('iStream', 2), ('Toshika 750', 2)]",17700,86.25,-37.8247719,145.0073524,5,16901.25,Summer,False,1.9599,"great item for knowledge, directions, music,laughter and more",True
ORD467536,ID6167236664,2019-02-07,Nickolson,"[('Lucent 330S', 2), ('pearTV', 1), ('Universe Note', 1)]",12220,58.65,-37.8107102,144.9672351,25,9223.65,Summer,False,0.901,"bad connection, dropping calls i bought this phone for my husband and after a few months started having issues , static, bad connection, dropping calls, it's not worth the money. i regretted buying it it, i do not recommend it.",False
ORD131409,ID5402876532,2019-08-01,Nickolson,"[('Olivia x460', 2), ('Universe Note', 2)]",9350,64.11,-37.8209896,144.97719630000003,0,9414.11,Winter,False,0.7232,"nice excelete, fulfilled all my expectations, great quality at a good price",True
ORD004776,ID0448078442,2019-02-21,Bakers,"[('Lucent 330S', 1), ('iAssist Line', 1), ('Olivia x460', 1), ('Universe Note', 2)]",11580,98.3,-37.799876,144.984555,10,10520.3,Summer,True,1.4666,looking for good phone order this ome great phone was in perfect condition and was on time will order agian soon,True
ORD383309,ID0579383912,2019-12-09,Thompson,"[('iStream', 1), ('Lucent 330S', 1), ('iAssist Line', 1), ('Olivia x460', 1)]",4830,62.85,-37.82443720000001,144.9425415,5,4651.35,Summer,False,1.3687,waste service after1 month it started everyday update from lucentrola regarding security. when i install them currently play store is not opening due to to application crash. there is no use of android without playstore.,False
ORD113194,ID2291073960,2019-04-22,Nickolson,"[('Toshika 750', 1), ('Alcon 10', 2), ('pearTV', 2)]",34840,51.67,-37.8084634,144.9679881,15,29665.67,Autumn,False,1.1362,doesnt work one week and the phone doesnt turn on.,False
